"[""Coworking Le Spot Multiburo Paris Montaigne"", ""https://www.coworking-france.com/espace-coworking/coworking-le-spot-multiburo-paris-montaigne/"", ""42 Avenue Montaigne - 75000 - Paris"", ""42 Avenue Montaigne"", ""75000"", ""Paris 1"", ""– Location Bureau partagé : Prix sur demande\n– Location Bureau privé : Prix sur demande\n– Location Salle de réunion : Prix sur demande\n– Bureau privatif au mois : 900 euros"", ""– Lundi : 9h – 18h\n– Mardi : 9h – 18h\n– Mercredi : 9h – 18h\n– Jeudi : 9h – 18h\n– Vendredi. : 9h – 18h\n– Samedi : Fermé\n– Dimanche : Fermé"", ""https://www.lespotmultiburo.com/adresses/paris-75008-coworking-bureaux-location-tiers-lieu/?ref=coworking-france.com""]"
"[""Coworking Le Spot Multiburo Paris Opera"", ""https://www.coworking-france.com/espace-coworking/coworking-le-spot-multiburo-paris-opera/"", ""15 Rue Taitbout - 75000 - Paris"", ""15 Rue Taitbout"", ""75000"", ""Paris 1"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Location Salle de réunion : Prix sur demande – Bureau privatif au mois : 850 euros "", ""– Lundi : 9h – 18h – Mardi : 9h – 18h – Mercredi : 9h – 18h – Jeudi : 9h – 18h – Vendredi. : 9h – 18h – Samedi : Fermé – Dimanche : Fermé "", ""https://www.lespotmultiburo.com/adresses/paris-75009-opera-coworking-espace-bureau-entrepreneur/?ref=coworking-france.com""]"
"[""Coworking Le Spot Multiburo Paris Trocadero"", ""https://www.coworking-france.com/espace-coworking/coworking-le-spot-multiburo-paris-trocadero/"", ""14 Avenue D’Eylau - 75000 - Paris"", ""14 Avenue D’Eylau"", ""75000"", ""Paris 1"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Location Salle de réunion : Prix sur demande – Bureau privatif au mois : 900 euros "", ""– Lundi : 9h – 18h – Mardi : 9h – 18h – Mercredi : 9h – 18h – Jeudi : 9h – 18h – Vendredi. : 9h – 18h – Samedi : Fermé – Dimanche : Fermé "", ""https://www.lespotmultiburo.com/adresses/paris-16-trocadero-coworking-bureau-partage-telecentre/?ref=coworking-france.com""]"
"[""Coworking The Bureau"", ""https://www.coworking-france.com/espace-coworking/coworking-the-bureau/"", ""28 Cours Albert 1 Er - 75008 - Paris"", ""28 Cours Albert 1 Er"", ""75008"", ""Paris 8"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Location Salle de réunion : Prix sur demande – Bureau partagé au mois : 475 euros "", ""– Lundi : 8h – 19h – Mardi : 8h – 19h – Mercredi : 8h – 19h – Jeudi : 8h – 19h – Vendredi. : 8h – 19h – Samedi : Fermé – Dimanche : Fermé "", ""https://www.thebureau.club?ref=coworking-france.com""]"
"[""Coworking Le 10H10 Coworking Cafe – Saint Martin"", ""https://www.coworking-france.com/espace-coworking/coworking-le-10h10-coworking-cafe-saint-martin/"", ""210 Rue Saint-Martin - 75003 - Paris"", ""210 Rue Saint-Martin"", ""75003"", ""Paris 3"", ""– Location Bureau partagé : Prix sur demande – Poste de travail à la demi journée : 600 euros – Poste de travail à la journée : 20,83 euros – Privatisation d’espace : Prix sur demande "", ""– Lundi : 9h – 19h – Mardi : 9h – 19h – Mercredi : 9h – 19h – Jeudi : 9h – 19h – Vendredi. : 9h – 19h – Samedi : Fermé – Dimanche : Fermé "", ""http://www.le10h10.com?ref=coworking-france.com""]"
"[""Coworking Republic"", ""https://www.coworking-france.com/espace-coworking/coworking-republic/"", ""189 Rue Du Temple - 75003 - Paris"", ""189 Rue Du Temple"", ""75003"", ""Paris 3"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Bureau partagé à la journée : 20 euros – Privatisation d’espace : Prix sur demande "", ""– Lundi : 9h – 18h – Mardi : 9h – 18h – Mercredi : 9h – 18h – Jeudi : 9h – 18h – Vendredi. : 9h – 18h – Samedi : Fermé – Dimanche : Fermé "", ""http://coworkingrepublic.com?ref=coworking-france.com""]"
"[""Coworking Start Way Bastille"", ""https://www.coworking-france.com/espace-coworking/coworking-start-way-bastille/"", ""100 Boulevard Beaumarchais - 75003 - Paris"", ""100 Boulevard Beaumarchais"", ""75003"", ""Paris 3"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Location Salle de réunion : Prix sur demande – Espace de travail au mois : 2400 euros "", ""– Lundi : 9h – 18h – Mardi : 9h – 18h – Mercredi : 9h – 18h – Jeudi : 9h – 18h – Vendredi. : 9h – 18h – Samedi : Fermé – Dimanche : Fermé "", ""http://www.start-way.com?ref=coworking-france.com""]"
"[""Coworking Buro Club Paris Vendome"", ""https://www.coworking-france.com/espace-coworking/coworking-buro-club-paris-vendome/"", ""5 Rue De Castiglione - 75001 - Paris"", ""5 Rue De Castiglione"", ""75001"", ""Paris 1"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Location Salle de réunion : Prix sur demande – Salle de réunion au mois : 1500 euros "", ""– Lundi : 9h – 18h30 – Mardi : 9h – 18h30 – Mercredi : 9h – 18h30 – Jeudi : 9h – 18h30 – Vendredi. : 9h – 18h30 – Samedi : Fermé – Dimanche : Fermé "", ""https://www.buro.com/centre-affaires/paris-vendome-1/?ref=coworking-france.com""]"
"[""Coworking Buro Club Paris Republique"", ""https://www.coworking-france.com/espace-coworking/coworking-buro-club-paris-republique/"", ""77 Avenue Parmentier - 75000 - Paris"", ""77 Avenue Parmentier"", ""75000"", ""Paris 1"", ""– Location Bureau partagé : Prix sur demande – Salle de réunion à la demi journée : 135 euros – Salle de réunion à la journée : 180 euros – Salle de réunion au mois : 700 euros "", ""– Lundi : 8h30 – 18h30 – Mardi : 8h30 – 18h30 – Mercredi : 8h30 – 18h30 – Jeudi : 8h30 – 18h30 – Vendredi. : 8h30 – 18h30 – Samedi : Fermé – Dimanche : Fermé "", ""https://www.buro.com/centre-affaires/paris-voltaire-2/?ref=coworking-france.com""]"
"[""Coworking Wereso Paris Chatelet"", ""https://www.coworking-france.com/espace-coworking/coworking-wereso-paris-chatelet/"", ""151 Rue Saint Denis - 75002 - Paris"", ""151 Rue Saint Denis"", ""75002"", ""Paris 2"", ""– Location Bureau partagé : Prix sur demande – Location Bureau privé : Prix sur demande – Poste de travail à la journée : 30 euros – Poste de travail au mois : 425 euros "", ""– Lundi : 9h – 19h – Mardi : 9h – 19h – Mercredi : 9h – 19h – Jeudi : 9h – 19h – Vendredi. : 9h – 19h – Samedi : Fermé – Dimanche : Fermé "", ""https://www.wereso.com?ref=coworking-france.com""]"
"[""Coworking Mycowork Event"", ""https://www.coworking-france.com/espace-coworking/coworking-mycowork-event/"", ""64 Rue De Cléry - 75002 - Paris"", ""64 Rue De Cléry"", ""75002"", ""Paris 2"", ""– Location Bureau partagé : Prix sur demande\n– Location Bureau privé : Prix sur demande\n– Poste de travail à la journée : 16,67 euros\n– Poste de travail au mois : 300 euros"", ""– Lundi : 9h – 19h\n– Mardi : 9h – 19h\n– Mercredi : 9h – 19h\n– Jeudi : 9h – 19h\n– Vendredi. : 9h – 19h\n– Samedi : Fermé\n– Dimanche : Fermé"", ""http://mycowork.fr/#beaubourg?ref=coworking-france.com""]"
"[""Remix Coworking – Cour Des Petites Ecuries"", ""https://www.coworking-france.com/espace-coworking/remix-coworking-cour-des-petites-ecuries/"", ""24 Cour Des Petites Ecuries - 75010 - Paris"", ""24 Cour Des Petites Ecuries"", ""75010"", ""Paris 10"", ""– Location Bureau partagé : Prix sur demande – Bureau partagé à la demi journée : 1500 euros – Bureau partagé à la journée : 2000 euros – Bureau partagé au mois : 370 euros "", ""– Lundi : 8h – 18h – Mardi : 8h – 18h – Mercredi : 8h – 18h – Jeudi : 8h – 18h – Vendredi. : 8h – 18h – Samedi : Fermé – Dimanche : Fermé "", ""https://www.remixcoworking.com?ref=coworking-france.com""]"
